Facility_Name,Location,Type,Total_Beds,Rating,Date,Accreditation_Status,Country,Annual_Visits,Funding_Received_(Millions)
Facility-A,Berlin,Hospital,146,4.3,1970-01-01,Not_Accredited,Germany,2975,22.04
Facility E,London,Hospital,,,1970-01-01,Accredited,UK,6939,
Facility_C,London,SpecialtyCare,143,2.7,1970-01-01,Accredited,USA,9882,18.64
Facility E,Berlin,SpecialtyCare,270,2.8,1970-01-01,Not_Accredited,Japan,4397,11.28
Facility B,London,SpecialtyCare,227,1.0,1970-01-01,Accredited,USA,9983,4.14
Facility-A,Tokyo,SpecialtyCare,96,2.5,1970-01-01,Accredited,Japan,1881,21.79
Facility B,San Francisco,SpecialtyCare,263,4.0,1970-01-01,Pending,UK,4170,17.55
Facility_C,London,Clinic,,,1970-01-01,Accredited,UK,1482,
Facility_C,Berlin,SpecialtyCare,158,3.0,1970-01-01,Pending,USA,2722,3.85
Facility E,New York,Hospital,230,3.6,1970-01-01,Not_Accredited,France,9432,10.35
FacilityD,Berlin,Hospital,123,1.1,1970-01-01,Accredited,USA,6758,18.84
FacilityD,Berlin,Clinic,52,3.7,1970-01-01,Pending,Japan,9026,18.08
Facility B,New York,Clinic,109,1.3,1970-01-01,Accredited,Germany,9534,25.56
Facility E,London,Hospital,277,3.5,1970-01-01,Accredited,USA,5628,12.21
Facility-A,London,Clinic,261,1.3,1970-01-01,Pending,Japan,5397,22.54
Facility B,Berlin,Hospital,55,2.7,1970-01-01,Not_Accredited,Germany,1424,23.62
Facility B,San Francisco,Hospital,50,1.2,1970-01-01,Not_Accredited,UK,2956,20.79
Facility_C,Berlin,Hospital,101,3.5,1970-01-01,Not_Accredited,UK,5798,18.05
Facility-A,London,Hospital,175,2.2,1970-01-01,Pending,Germany,5289,14.39
Facility_C,New York,Hospital,77,1.4,1970-01-01,Not_Accredited,France,9454,30.0
Facility_C,Berlin,Hospital,184,3.0,1970-01-01,Accredited,Germany,1024,5.26
FacilityD,San Francisco,Clinic,218,2.1,1970-01-01,Pending,Germany,6774,17.85
Facility E,San Francisco,SpecialtyCare,99,1.3,1970-01-01,Not_Accredited,UK,7455,9.76
Facility B,Berlin,Hospital,288,1.7,1970-01-01,Not_Accredited,USA,7539,27.06
FacilityD,London,Hospital,222,4.4,1970-01-01,Pending,Japan,1947,25.32
Facility E,London,Clinic,258,3.2,1970-01-01,Pending,Germany,8755,20.1
Facility B,London,SpecialtyCare,83,3.1,1970-01-01,Not_Accredited,Germany,6906,21.63
Facility B,New York,Hospital,92,3.6,1970-01-01,Not_Accredited,USA,7941,7.17
Facility-A,New York,SpecialtyCare,295,3.6,1970-01-01,Accredited,France,6482,19.13
Facility E,London,Hospital,123,2.1,1970-01-01,Pending,France,1209,8.2
FacilityD,London,SpecialtyCare,291,1.8,1970-01-01,Accredited,USA,9795,15.72
Facility E,London,SpecialtyCare,111,3.4,1970-01-01,Accredited,France,1030,9.03
Facility_C,London,Clinic,262,2.3,1970-01-01,Accredited,France,2942,22.24
Facility E,Berlin,SpecialtyCare,264,4.1,1970-01-01,Accredited,UK,7807,3.15
